index,nickname,country,city,club,band,daily_cap,schedule,rename_flag,base_skill,consistency,speed_offset,affinities,has_avatar,personality_seed
41,Bachanaiko.maradona,GE,Gori,,B2,3,daytime,no,0.447,0.354,-0.133,serie_a:0.088 champions_league:0.184 world_cup:-0.095 premier_league:-0.168 transfers:-0.064,no,2572154523301240
42,arteta,GE,Zugdidi,,B2,2,evening,no,0.325,0.42,-0.083,world_cup:0.183 national_teams:0.187 premier_league:0.124 georgian_football:-0.119 serie_a:-0.181 transfers:-0.155 bundesliga:-0.105,no,4196651236300155
43,lukaa,ES,Barcelona,,B2,21,daytime,no,0.422,0.689,-0.257,georgian_football:0.127 serie_a:0.078 legends:-0.099 bundesliga:-0.133 la_liga:-0.053,no,2091555753436886
44,jemal sanikadze,GE,Telavi,Manchester United,B2,15,daytime,no,0.418,0.815,0.183,bundesliga:0.111 world_cup:0.195 serie_a:-0.171 premier_league:-0.109 la_liga:-0.109 transfers:-0.171,no,3892023533042124
45,KUKURI,ES,Madrid,,B5 (top),10,evening,no,0.782,0.729,-0.242,world_cup:0.065 la_liga:0.108 bundesliga:0.199 serie_a:0.161 national_teams:-0.068 premier_league:-0.17,no,2805152116183131
46,irakli turashava,TR,Istanbul,,B3,3,daytime,no,0.461,0.449,-0.232,serie_a:0.151 georgian_football:0.066 la_liga:0.165 world_cup:-0.123 transfers:-0.102 champions_league:-0.088 legends:-0.162,no,3595989458818738
47,Mikheil Meladzeli,US,Los Angeles,,B4,2,daytime,no,0.651,0.532,-0.201,transfers:0.169 serie_a:0.16 la_liga:-0.16 world_cup:-0.127,no,565951702809001
48,datuna eliashidze,GE,Ozurgeti,,B2,2,evening,no,0.271,0.47,-0.111,premier_league:0.076 transfers:0.087 la_liga:0.143 national_teams:0.148 georgian_football:-0.147 bundesliga:-0.127 legends:-0.095 champions_league:-0.165,no,645644660330714
49,Natiaushka.vidal,GE,Tbilisi,,B2,15,daytime,no,0.284,0.42,-0.036,transfers:0.085 georgian_football:0.095 premier_league:0.12 champions_league:0.117 legends:-0.118 national_teams:-0.06 bundesliga:-0.162 world_cup:-0.148,no,332531720099506
50,Lekso23,GB,Manchester,,B1 (bottom),15,evening,no,0.14,0.538,-0.249,premier_league:0.189 la_liga:0.112 legends:0.146 serie_a:0.056 national_teams:-0.191 world_cup:-0.103 transfers:-0.194,no,2396920624422016
51,MerabZ,GE,Rustavi,,B4,3,morning,no,0.675,0.54,-0.296,national_teams:0.132 bundesliga:0.177 transfers:-0.182 georgian_football:-0.152 legends:-0.103 premier_league:-0.135,no,714113848007844
52,Sergoa,GE,Ozurgeti,,B2,2,daytime,no,0.397,0.655,0.253,world_cup:0.069 national_teams:0.135 legends:0.128 serie_a:-0.175 la_liga:-0.19,no,4358708052785003
53,GogaM,GE,Poti,,B2,3,daytime,no,0.361,0.528,-0.141,legends:0.114 serie_a:0.093 georgian_football:0.116 bundesliga:-0.093 national_teams:-0.1 world_cup:-0.083,no,2975929599697275
54,grisha peikrishua,GE,Kutaisi,,B3,2,daytime,no,0.566,0.401,0.223,legends:0.162 premier_league:0.129 la_liga:0.19 bundesliga:-0.106 serie_a:-0.107,no,4462342235442743
55,RevazN,GE,Gori,,B3,2,evening,yes,0.513,0.739,0.107,serie_a:0.086 legends:0.112 national_teams:0.121 premier_league:0.115 la_liga:-0.172 champions_league:-0.05 transfers:-0.107,no,428578991944740
56,Tengo Peikrishvili,GE,Zugdidi,,B1 (bottom),10,evening,no,0.088,0.543,0.249,world_cup:0.058 georgian_football:0.192 bundesliga:0.178 transfers:-0.135 legends:-0.196 champions_league:-0.093 la_liga:-0.185,no,1422852610135659
57,Nugzara,ES,Barcelona,,B3,2,evening,yes,0.531,0.525,0.036,serie_a:0.11 la_liga:0.122 transfers:-0.052 world_cup:-0.128,no,3246720057101228
58,Koka Tomadshvili,GE,Zugdidi,,B2,3,evening,no,0.252,0.504,-0.231,premier_league:0.12 national_teams:0.185 la_liga:-0.15 serie_a:-0.161,no,3932212301583350
59,pridon qavtarshvili,GE,Rustavi,,B3,2,evening,no,0.5,0.701,0.021,premier_league:0.124 la_liga:0.164 national_teams:0.131 bundesliga:0.159 world_cup:-0.084 legends:-0.153 champions_league:-0.118,no,1204334541619016
60,Tornik,GE,Poti,,B3,3,evening,no,0.59,0.399,-0.293,serie_a:0.088 georgian_football:0.177 premier_league:-0.193 world_cup:-0.111 bundesliga:-0.131 transfers:-0.09,no,25899194824364
61,BachanaB,GE,Batumi,,B1 (bottom),2,night_owl,no,0.061,0.424,0.166,champions_league:0.161 world_cup:0.128 national_teams:-0.156 legends:-0.149 premier_league:-0.187,no,2859226191786983
62,Bacho Ugrelieli,US,New York,,B2,2,daytime,no,0.312,0.38,0.095,legends:0.175 bundesliga:0.136 premier_league:0.118 national_teams:-0.161 transfers:-0.135,no,1774419621413317
63,tornikiko,GE,Poti,,B3,2,evening,no,0.593,0.781,-0.054,bundesliga:0.16 national_teams:0.075 transfers:0.183 georgian_football:0.088 serie_a:-0.098 legends:-0.051,no,3471624257235229
64,Nutsauna69,GE,Rustavi,,B2,2,daytime,no,0.443,0.717,0.125,legends:0.069 world_cup:0.156 champions_league:-0.194 georgian_football:-0.12 la_liga:-0.121,no,334473951563489
65,BachoT22,GE,Ozurgeti,,B4,10,daytime,no,0.74,0.755,0.206,national_teams:0.053 transfers:0.101 world_cup:-0.102 legends:-0.06 champions_league:-0.133,no,1487195816254554
66,Lado Qoridshvili,GE,Tbilisi,,B2,10,morning,no,0.254,0.518,-0.066,bundesliga:0.121 georgian_football:0.099 champions_league:-0.187 serie_a:-0.157 premier_league:-0.195,no,976999201148620
67,Nugoka09,GE,Akhaltsikhe,,B4,3,daytime,no,0.626,0.568,-0.022,champions_league:0.059 la_liga:0.11 georgian_football:0.074 serie_a:-0.084 national_teams:-0.177 bundesliga:-0.054,no,3163049916919479
68,Leksoka,GE,Zugdidi,,B1 (bottom),15,evening,no,0.187,0.355,-0.051,transfers:0.086 georgian_football:0.132 national_teams:-0.073 legends:-0.14,no,2706783340432427
69,Jemal Dgebshvili,GE,Rustavi,,B5 (top),3,evening,no,0.847,0.789,-0.008,national_teams:0.178 georgian_football:0.108 transfers:-0.112 la_liga:-0.121 premier_league:-0.152 serie_a:-0.169,no,1106471325104660
70,Lukas Purtseladze,GE,Zugdidi,,B3,2,daytime,yes,0.575,0.649,0.032,premier_league:0.138 serie_a:0.063 bundesliga:0.152 world_cup:-0.154 legends:-0.191 champions_league:-0.129 la_liga:-0.198,no,1882050536041718
71,real,GE,Akhaltsikhe,,B2,10,evening,no,0.443,0.649,-0.277,national_teams:0.135 champions_league:0.076 world_cup:-0.146 la_liga:-0.174 transfers:-0.143 legends:-0.13,no,4002509317073310
72,givi,GE,Ozurgeti,,B1 (bottom),3,morning,no,0.113,0.499,0.067,georgian_football:0.126 la_liga:0.164 national_teams:-0.075 champions_league:-0.181,no,618692300873795
73,Lukas Talakhadze,GE,Gori,,B3,2,evening,no,0.476,0.786,0.161,transfers:0.092 champions_league:0.076 legends:0.052 la_liga:0.183 georgian_football:-0.148 national_teams:-0.098,no,1822761694757491
74,VovaN7,GE,Telavi,,B3,21,evening,yes,0.598,0.71,0.106,legends:0.059 national_teams:0.197 champions_league:0.184 la_liga:-0.185 georgian_football:-0.127,no,2602353406221717
75,ronaldo,GE,Batumi,,B3,15,evening,no,0.534,0.473,0.157,national_teams:0.14 legends:0.088 champions_league:-0.094 serie_a:-0.084 bundesliga:-0.13 transfers:-0.144,yes,785130271349544
76,sopho,GE,Tbilisi,,B1 (bottom),10,daytime,no,0.213,0.544,-0.189,la_liga:0.091 georgian_football:0.098 champions_league:-0.153 transfers:-0.099 world_cup:-0.062,no,2425628594713014
77,Sopo Vephkhvshvili,GE,Rustavi,,B4,2,evening,no,0.713,0.695,-0.153,world_cup:0.104 premier_league:0.177 georgian_football:0.058 bundesliga:-0.198 national_teams:-0.062,no,2658902375697824
78,Likaushka,GE,Gori,,B2,2,daytime,no,0.302,0.513,-0.119,georgian_football:0.177 bundesliga:0.071 champions_league:-0.098 world_cup:-0.081 serie_a:-0.059 premier_league:-0.088,no,804891517232542
79,Jemal111,GE,Rustavi,,B3,10,daytime,no,0.562,0.618,0.191,world_cup:0.171 champions_league:0.17 national_teams:0.109 serie_a:-0.162 georgian_football:-0.17 la_liga:-0.109,no,1942000201521878
80,MerabZ14,GE,Kutaisi,,B1 (bottom),2,evening,yes,0.119,0.734,-0.034,la_liga:0.071 national_teams:0.174 serie_a:-0.114 world_cup:-0.062,no,713439116557054
81,nikushaiko,GB,Manchester,,B3,3,daytime,no,0.55,0.543,0.204,legends:0.101 georgian_football:0.162 bundesliga:0.169 la_liga:-0.127 world_cup:-0.159 transfers:-0.125 premier_league:-0.088,no,4030493300894404
82,kakiiko.striker,GE,Rustavi,,B4,2,morning,no,0.605,0.764,-0.23,bundesliga:0.095 serie_a:0.116 premier_league:0.074 la_liga:0.193 champions_league:-0.182 transfers:-0.103,no,4349582922866355
83,eldar tomadshvili,GE,Batumi,,B5 (top),2,daytime,no,0.86,0.491,0.037,champions_league:0.055 bundesliga:0.066 national_teams:0.191 world_cup:0.093 la_liga:-0.11 georgian_football:-0.121 serie_a:-0.055 legends:-0.199,yes,3267408738175818
84,PridonD9,GE,Zugdidi,,B3,15,evening,no,0.511,0.799,-0.078,bundesliga:0.181 champions_league:0.181 serie_a:0.123 la_liga:-0.15 world_cup:-0.068 georgian_football:-0.08,no,3434839904682849
85,Vaskaiko,GE,Kutaisi,,B1 (bottom),2,evening,no,0.236,0.64,0.239,national_teams:0.145 legends:0.19 la_liga:0.199 georgian_football:0.114 premier_league:-0.122 champions_league:-0.151 serie_a:-0.117 world_cup:-0.174,no,52714103456233
86,ლევანი,GE,Akhaltsikhe,,B2,2,evening,no,0.316,0.453,-0.231,world_cup:0.194 bundesliga:0.138 la_liga:-0.152 transfers:-0.057 premier_league:-0.198,no,1137548313865445
87,belardi,ES,Madrid,,B3,2,daytime,no,0.529,0.623,0.03,bundesliga:0.066 serie_a:0.085 premier_league:0.067 legends:0.07 national_teams:-0.113 la_liga:-0.076,no,2735683738238594
88,Vato,GE,Zugdidi,,B2,2,daytime,no,0.33,0.702,-0.078,la_liga:0.199 georgian_football:0.109 legends:0.187 serie_a:-0.121 transfers:-0.127 premier_league:-0.102,no,3740576826455729
89,Tamtaiko,GE,Akhaltsikhe,,B1 (bottom),3,daytime,no,0.068,0.362,0.291,world_cup:0.085 premier_league:0.127 legends:0.074 georgian_football:-0.109 serie_a:-0.088 national_teams:-0.16,no,2951670523178657
90,DatunaK,GE,Poti,,B3,2,daytime,yes,0.495,0.565,0.25,serie_a:0.121 premier_league:0.124 champions_league:0.106 la_liga:0.132 legends:-0.198 bundesliga:-0.171 world_cup:-0.088 national_teams:-0.092,no,1585674288099167
91,Besoka,GB,Birmingham,,B1 (bottom),3,evening,no,0.234,0.362,-0.196,serie_a:0.058 national_teams:0.146 transfers:-0.057 bundesliga:-0.152,no,3241841257293325
92,SophoR,GE,Zugdidi,,B2,3,evening,no,0.419,0.467,-0.003,world_cup:0.095 transfers:0.156 premier_league:0.135 champions_league:0.175 georgian_football:-0.135 legends:-0.102 serie_a:-0.134,no,1454375989408349
93,kaisa,GE,Telavi,,B3,10,evening,no,0.498,0.572,0.211,world_cup:0.1 georgian_football:0.182 bundesliga:0.11 premier_league:-0.173 national_teams:-0.183 la_liga:-0.142,no,278879891178016
94,NugzarL,GE,Kutaisi,,B2,3,evening,no,0.267,0.591,0.045,premier_league:0.097 transfers:0.198 georgian_football:0.192 serie_a:-0.079 bundesliga:-0.135 world_cup:-0.09,no,2243618503505474
95,TornikR,GE,Ozurgeti,,B4,2,evening,yes,0.648,0.646,0.002,world_cup:0.13 national_teams:0.08 serie_a:-0.175 transfers:-0.057 georgian_football:-0.079 premier_league:-0.195,no,328018961438157
96,Sopho Ubilshvili,GE,Ozurgeti,,B4,3,daytime,no,0.631,0.799,-0.273,bundesliga:0.195 transfers:0.1 legends:0.054 premier_league:-0.112 champions_league:-0.116,no,704330777478452
97,Ilia Qavtarshvili,GE,Tbilisi,,B3,2,daytime,no,0.553,0.652,-0.089,serie_a:0.2 premier_league:0.075 legends:-0.136 champions_league:-0.17,no,1544770377129015
98,Davitka,GE,Rustavi,,B1 (bottom),3,evening,no,0.23,0.57,0.04,champions_league:0.109 serie_a:0.062 world_cup:0.172 la_liga:0.104 premier_league:-0.177 national_teams:-0.058 bundesliga:-0.133 georgian_football:-0.13,no,1085378851331033
99,striker,GE,Rustavi,,B3,15,morning,no,0.578,0.389,-0.116,transfers:0.096 premier_league:0.11 georgian_football:0.065 legends:0.193 la_liga:-0.061 champions_league:-0.066,no,572612137374742
100,SABA UGRELISHVILI,GE,Kutaisi,,B1 (bottom),15,evening,yes,0.078,0.636,-0.016,legends:0.087 la_liga:0.188 champions_league:0.194 bundesliga:-0.18 transfers:-0.063,no,4395482534446357
101,Ika Nachkebava,GE,Telavi,,B3,15,evening,no,0.489,0.667,-0.138,national_teams:0.098 premier_league:0.096 transfers:0.165 bundesliga:-0.173 world_cup:-0.063 champions_league:-0.058 georgian_football:-0.051,no,1851362492173989
102,temol23,DE,Berlin,,B4,2,evening,no,0.696,0.838,-0.018,la_liga:0.051 legends:0.063 transfers:0.123 champions_league:0.12 serie_a:-0.123 national_teams:-0.08 georgian_football:-0.179,no,1742894636818405
103,salomeg47,GE,Telavi,,B2,3,daytime,no,0.444,0.724,0.125,georgian_football:0.181 champions_league:0.125 bundesliga:0.058 premier_league:-0.058 legends:-0.088,no,2982624599028979
104,davitiko,GE,Batumi,,B1 (bottom),3,evening,no,0.234,0.686,-0.277,la_liga:0.088 transfers:0.089 bundesliga:0.197 national_teams:-0.129 serie_a:-0.171 georgian_football:-0.132 champions_league:-0.159,no,576354567629909
105,Nodar14,GE,Zugdidi,,B3,2,evening,no,0.593,0.578,-0.064,premier_league:0.14 serie_a:0.18 la_liga:-0.108 champions_league:-0.113 national_teams:-0.153,no,4445892757718867
106,NugzarR14,GE,Kutaisi,,B3,2,daytime,no,0.466,0.615,-0.195,champions_league:0.174 legends:0.061 premier_league:0.085 serie_a:-0.098 georgian_football:-0.133 la_liga:-0.093 transfers:-0.108,no,370353109134873
107,TatoK,GE,Poti,,B2,2,night_owl,no,0.385,0.478,-0.212,la_liga:0.052 bundesliga:0.097 champions_league:0.119 transfers:0.09 legends:-0.176 premier_league:-0.154,yes,1929246127242335
108,badri skangidze,GE,Gori,,B2,15,morning,no,0.42,0.744,-0.076,national_teams:0.127 bundesliga:0.187 premier_league:-0.176 champions_league:-0.096 la_liga:-0.105 georgian_football:-0.149,yes,1060615576070189
109,purtseladze,GE,Kutaisi,,B1 (bottom),2,night_owl,no,0.072,0.669,-0.113,national_teams:0.092 bundesliga:0.147 world_cup:-0.069 premier_league:-0.079 la_liga:-0.104 serie_a:-0.123,no,2438078876442625
110,Nodaro23,GE,Akhaltsikhe,,B2,3,daytime,yes,0.406,0.612,0.063,georgian_football:0.08 legends:0.056 transfers:0.059 national_teams:0.05 la_liga:-0.186 premier_league:-0.151 serie_a:-0.127 champions_league:-0.175,no,1840682544802873
111,gocha matchavarshvili,GE,Batumi,,B1 (bottom),10,evening,no,0.147,0.367,-0.283,legends:0.133 bundesliga:0.15 world_cup:0.183 transfers:-0.199 champions_league:-0.16 national_teams:-0.096,yes,960790747984944
112,Anano1,GE,Poti,,B1 (bottom),15,daytime,no,0.135,0.52,0.213,transfers:0.076 premier_league:0.101 la_liga:0.062 national_teams:-0.127 legends:-0.055 champions_league:-0.059,no,1278192647899153
113,lukasuna,GE,Akhaltsikhe,,B4,3,daytime,no,0.731,0.711,0.102,champions_league:0.051 transfers:0.163 bundesliga:0.091 serie_a:-0.145 world_cup:-0.097 national_teams:-0.076 premier_league:-0.07,no,4131642778830612
114,bacho tabagshvili15,GE,Batumi,,B1 (bottom),2,evening,no,0.203,0.448,0.141,bundesliga:0.176 transfers:0.052 world_cup:-0.124 serie_a:-0.184 premier_league:-0.141,no,1882051644873641
115,Mari Arakishvili,GE,Telavi,,B3,15,daytime,no,0.529,0.586,0.271,national_teams:0.065 transfers:0.158 la_liga:-0.193 premier_league:-0.15 legends:-0.139,no,293912242086932
116,NACHKEBIANI,GE,Zugdidi,,B1 (bottom),10,evening,no,0.208,0.508,0.193,premier_league:0.146 world_cup:0.184 legends:-0.12 serie_a:-0.154 georgian_football:-0.167 la_liga:-0.15,no,823882389877422
117,Lukaushka,DE,Munich,,B2,2,morning,no,0.366,0.551,0.219,serie_a:0.197 bundesliga:0.126 la_liga:-0.052 premier_league:-0.106,no,2946656737014504
118,Zaal Gugeshvili,GE,Tbilisi,,B5 (top),2,morning,yes,0.851,0.43,0.138,premier_league:0.089 champions_league:0.138 world_cup:0.094 serie_a:-0.152 national_teams:-0.166 georgian_football:-0.142,no,2103797684687128
119,gk,US,New York,,B2,3,daytime,no,0.421,0.354,-0.034,georgian_football:0.185 bundesliga:0.154 world_cup:-0.105 la_liga:-0.175,no,4197157505545449
120,VAKHTANGL.kaisa,GE,Kutaisi,,B2,2,morning,no,0.343,0.743,-0.094,premier_league:0.124 la_liga:0.099 georgian_football:0.196 transfers:0.089 national_teams:-0.109 champions_league:-0.096 serie_a:-0.147,no,1012079399035916
121,sopho kalatozava,GE,Kutaisi,,B4,2,evening,no,0.611,0.401,0.136,legends:0.053 serie_a:0.167 georgian_football:0.192 world_cup:0.089 la_liga:-0.133 bundesliga:-0.142 national_teams:-0.116,no,829685258108190
122,Ratia,TR,Ankara,,B2,2,daytime,no,0.341,0.352,0.197,la_liga:0.193 serie_a:0.12 world_cup:0.199 champions_league:0.129 transfers:-0.071 legends:-0.103 national_teams:-0.151 premier_league:-0.16,no,977189686220086
123,Temol14,GE,Batumi,,B3,2,evening,no,0.528,0.714,0.256,bundesliga:0.113 georgian_football:0.16 national_teams:0.174 champions_league:-0.126 premier_league:-0.05 legends:-0.153,no,2357576458976934
124,medea beberadze,GE,Batumi,,B2,10,night_owl,no,0.398,0.778,0.105,serie_a:0.154 premier_league:0.088 champions_league:-0.109 transfers:-0.16,no,3088866421817316
125,Shota Turashvili,GE,Gori,,B3,2,morning,no,0.572,0.765,-0.118,premier_league:0.094 transfers:0.066 world_cup:0.064 serie_a:0.13 legends:-0.199 bundesliga:-0.085 georgian_football:-0.075,no,201863695484241
126,merabushka,GE,Rustavi,,B2,2,evening,no,0.256,0.549,-0.058,world_cup:0.123 champions_league:0.118 georgian_football:0.146 la_liga:0.133 national_teams:-0.166 transfers:-0.186,no,2671300936771033
