family,difficulty,answer,prompt_en,explanation_en,facts,image_a,image_b,accepted_count
transfer,medium,Krzysztof Piatek,One player made this move in 2019/20. Who?,Krzysztof Piatek joined Hertha BSC from AC Milan in 2019/20 for €24M.,"{""from"": ""AC Milan"", ""to"": ""Hertha BSC"", ""season"": ""19/20"", ""fee"": 24000000.0}",ac-milan.webp,hertha-bsc.webp,5
transfer,medium,Georges Mikautadze,One player made this move in 2024/25. Who?,Georges Mikautadze joined Lyon from Metz in 2024/25 for €18.5M.,"{""from"": ""FC Metz"", ""to"": ""Lyon"", ""season"": ""24/25"", ""fee"": 18500000.0}",wl-metz.png,olympique-lyonnais.webp,7
transfer,hard,Giorgian de Arrascaeta,One player made this move in 2018/19. Who?,Giorgian de Arrascaeta joined Flamengo from Cruzeiro in 2018/19 for €15M.,"{""from"": ""Cruzeiro"", ""to"": ""Flamengo"", ""season"": ""18/19"", ""fee"": 15000000.0}",wl-cruzeiro.png,flamengo.webp,6
transfer,hard,Youssouf Ndayishimiye,One player made this move in 2022/23. Who?,Youssouf Ndayishimiye joined Nice from Başakşehir in 2022/23 for €11.5M.,"{""from"": ""Basaksehir"", ""to"": ""Nice"", ""season"": ""22/23"", ""fee"": 11500000.0}",wl-basaksehir.png,ogc-nice.webp,4
transfer,medium,Duje Caleta-Car,One player made this move in 2022/23. Who?,Duje Caleta-Car joined Southampton from Marseille in 2022/23 for €8M.,"{""from"": ""Marseille"", ""to"": ""Southampton"", ""season"": ""22/23"", ""fee"": 8000000.0}",wl-marseille.png,wl-southampton.png,5
transfer,hard,Sacha Boey,One player made this move in 2023/24. Who?,Sacha Boey joined FC Bayern Munich from Galatasaray in 2023/24 for €30M.,"{""from"": ""Galatasaray"", ""to"": ""Bayern Munich"", ""season"": ""23/24"", ""fee"": 30000000.0}",wl-galatasaray.png,fc-bayern-munich.webp,5
transfer,hard,Bertrand Traoré,One player made this move in 2020/21. Who?,Bertrand Traoré joined Aston Villa from Lyon in 2020/21 for €18.4M.,"{""from"": ""Lyon"", ""to"": ""Aston Villa"", ""season"": ""20/21"", ""fee"": 18400000.0}",olympique-lyonnais.webp,aston-villa.webp,4
transfer,hard,Odsonne Édouard,One player made this move in 2021/22. Who?,Odsonne Édouard joined Crystal Palace from Celtic in 2021/22 for €16.3M.,"{""from"": ""Celtic"", ""to"": ""Crystal Palace"", ""season"": ""21/22"", ""fee"": 16300000.0}",celtic.webp,crystal-palace.png,5
transfer,medium,Nikola Vlašić,One player made this move in 2017/18. Who?,Nikola Vlašić joined Everton from Hajduk Split in 2017/18 for €10.8M.,"{""from"": ""Hajduk Split"", ""to"": ""Everton"", ""season"": ""17/18"", ""fee"": 10800000.0}",wl-hajduk-split.png,everton.webp,4
transfer,medium,Sofyan Amrabat,One player made this move in 2025/26. Who?,Sofyan Amrabat joined Fenerbahçe from Fiorentina in 2025/26 for €12M.,"{""from"": ""Fiorentina"", ""to"": ""Fenerbahçe"", ""season"": ""25/26"", ""fee"": 12000000.0}",acf-fiorentina.webp,wl-fenerbahce.png,6
transfer,hard,Andreas Pereira,One player made this move in 2025/26. Who?,Andreas Pereira joined Palmeiras from Fulham in 2025/26 for €10M.,"{""from"": ""Fulham"", ""to"": ""Palmeiras"", ""season"": ""25/26"", ""fee"": 10000000.0}",wl-fulham.png,wl-palmeiras.png,4
transfer,medium,Everton,One player made this move in 2022/23. Who?,Everton joined Flamengo from Benfica in 2022/23 for €16.5M.,"{""from"": ""Benfica"", ""to"": ""Flamengo"", ""season"": ""22/23"", ""fee"": 16500000.0}",sl-benfica.webp,flamengo.webp,2
transfer,hard,Hamed Traoré,One player made this move in 2026/27. Who?,Hamed Traoré joined Marseille from Bournemouth in 2026/27 for €7.5M.,"{""from"": ""Bournemouth"", ""to"": ""Marseille"", ""season"": ""26/27"", ""fee"": 7500000.0}",afc-bournemouth.png,wl-marseille.png,5
transfer,hard,Davy Klaassen,One player made this move in 2018/19. Who?,Davy Klaassen joined Werder Bremen from Everton in 2018/19 for €13.5M.,"{""from"": ""Everton"", ""to"": ""Werder Bremen"", ""season"": ""18/19"", ""fee"": 13500000.0}",everton.webp,werder-bremen.webp,4
transfer,hard,Marko Pjaca,One player made this move in 2016/17. Who?,Marko Pjaca joined Juventus from Dinamo Zagreb in 2016/17 for €29.4M.,"{""from"": ""Dinamo Zagreb"", ""to"": ""Juventus"", ""season"": ""16/17"", ""fee"": 29400000.0}",wl-dinamo-zagreb.png,juventus.webp,4
transfer,medium,Pierre Kalulu,One player made this move in 2025/26. Who?,Pierre Kalulu joined Juventus from AC Milan in 2025/26 for €14.3M.,"{""from"": ""AC Milan"", ""to"": ""Juventus"", ""season"": ""25/26"", ""fee"": 14300000.0}",ac-milan.webp,juventus.webp,4
transfer,medium,David Raya,One player made this move in 2024/25. Who?,David Raya joined Arsenal from Brentford in 2024/25 for €31.9M.,"{""from"": ""Brentford"", ""to"": ""Arsenal"", ""season"": ""24/25"", ""fee"": 31900000.0}",wl-brentford.png,arsenal.webp,4
transfer,easy,Serge Gnabry,One player made this move in 2017/18. Who?,Serge Gnabry joined FC Bayern Munich from Werder Bremen in 2017/18 for €8M.,"{""from"": ""Werder Bremen"", ""to"": ""Bayern Munich"", ""season"": ""17/18"", ""fee"": 8000000.0}",werder-bremen.webp,fc-bayern-munich.webp,8
transfer,medium,Dries Mertens,One player made this move in 2013/14. Who?,Dries Mertens joined SSC Napoli from PSV Eindhoven in 2013/14 for €9.5M.,"{""from"": ""PSV Eindhoven"", ""to"": ""SSC Napoli"", ""season"": ""13/14"", ""fee"": 9480000.0}",psv-eindhoven.webp,ssc-napoli.webp,9
transfer,medium,Nuno Tavares,One player made this move in 2021/22. Who?,Nuno Tavares joined Arsenal from Benfica in 2021/22 for €8M.,"{""from"": ""Benfica"", ""to"": ""Arsenal"", ""season"": ""21/22"", ""fee"": 8000000.0}",sl-benfica.webp,arsenal.webp,4
transfer,medium,Dodi Lukébakio,One player made this move in 2025/26. Who?,Dodi Lukébakio joined Benfica from Sevilla FC in 2025/26 for €20M.,"{""from"": ""Sevilla FC"", ""to"": ""Benfica"", ""season"": ""25/26"", ""fee"": 20000000.0}",sevilla-fc.webp,sl-benfica.webp,5
transfer,easy,Álvaro Morata,One player made this move in 2016/17. Who?,Álvaro Morata joined Real Madrid CF from Juventus in 2016/17 for €30M.,"{""from"": ""Juventus"", ""to"": ""Real Madrid"", ""season"": ""16/17"", ""fee"": 30000000.0}",juventus.webp,real-madrid-cf.webp,9
transfer,medium,Martin Terrier,One player made this move in 2017/18. Who?,Martin Terrier joined Lyon from Lille in 2017/18 for €11M.,"{""from"": ""Lille"", ""to"": ""Lyon"", ""season"": ""17/18"", ""fee"": 11000000.0}",losc-lille.webp,olympique-lyonnais.webp,4
transfer,easy,Luis Díaz,One player made this move in 2025/26. Who?,Luis Díaz joined FC Bayern Munich from Liverpool in 2025/26 for €70M.,"{""from"": ""Liverpool"", ""to"": ""Bayern Munich"", ""season"": ""25/26"", ""fee"": 70000000.0}",liverpool.webp,fc-bayern-munich.webp,3
transfer,hard,Calvin Stengs,One player made this move in 2023/24. Who?,Calvin Stengs joined Feyenoord from Nice in 2023/24 for €6M.,"{""from"": ""Nice"", ""to"": ""Feyenoord"", ""season"": ""23/24"", ""fee"": 6000000.0}",ogc-nice.webp,feyenoord.webp,4
transfer,easy,Ryan Gravenberch,One player made this move in 2023/24. Who?,Ryan Gravenberch joined Liverpool from FC Bayern Munich in 2023/24 for €40M.,"{""from"": ""Bayern Munich"", ""to"": ""Liverpool"", ""season"": ""23/24"", ""fee"": 40000000.0}",fc-bayern-munich.webp,liverpool.webp,4
transfer,hard,Nathaniel Clyne,One player made this move in 2015/16. Who?,Nathaniel Clyne joined Liverpool from Southampton in 2015/16 for €17.7M.,"{""from"": ""Southampton"", ""to"": ""Liverpool"", ""season"": ""15/16"", ""fee"": 17700000.0}",wl-southampton.png,liverpool.webp,4
transfer,hard,Amadou Diawara,One player made this move in 2019/20. Who?,Amadou Diawara joined AS Roma from SSC Napoli in 2019/20 for €21M.,"{""from"": ""SSC Napoli"", ""to"": ""AS Roma"", ""season"": ""19/20"", ""fee"": 21000000.0}",ssc-napoli.webp,as-roma.webp,4
transfer,hard,Luciano Valente,One player made this move in 2025/26. Who?,Luciano Valente joined Feyenoord from Groningen in 2025/26 for €6.8M.,"{""from"": ""FC Groningen"", ""to"": ""Feyenoord"", ""season"": ""25/26"", ""fee"": 6750000.0}",wl-groningen.png,feyenoord.webp,4
transfer,easy,Kevin De Bruyne,One player made this move in 2013/14. Who?,Kevin De Bruyne joined Wolfsburg from Chelsea in 2013/14 for €22M.,"{""from"": ""Chelsea"", ""to"": ""Wolfsburg"", ""season"": ""13/14"", ""fee"": 22000000.0}",chelsea.webp,wl-vfl-wolfsburg.png,6
transfer,medium,Jordan Henderson,One player made this move in 2023/24. Who?,Jordan Henderson joined Al-Ettifaq from Liverpool in 2023/24 for €14M.,"{""from"": ""Liverpool"", ""to"": ""Al-Ettifaq"", ""season"": ""23/24"", ""fee"": 14000000.0}",liverpool.webp,wl-al-ettifaq.png,4
transfer,medium,Assane Diao,One player made this move in 2024/25. Who?,Assane Diao joined Como from Real Betis in 2024/25 for €12M.,"{""from"": ""Real Betis"", ""to"": ""Como"", ""season"": ""24/25"", ""fee"": 12000000.0}",real-betis.webp,wl-como.png,5
transfer,easy,Christopher Nkunku,One player made this move in 2025/26. Who?,Christopher Nkunku joined AC Milan from Chelsea in 2025/26 for €37M.,"{""from"": ""Chelsea"", ""to"": ""AC Milan"", ""season"": ""25/26"", ""fee"": 37000000.0}",chelsea.webp,ac-milan.webp,4
transfer,medium,Gerson,One player made this move in 2022/23. Who?,Gerson joined Flamengo from Marseille in 2022/23 for €15M.,"{""from"": ""Marseille"", ""to"": ""Flamengo"", ""season"": ""22/23"", ""fee"": 15000000.0}",wl-marseille.png,flamengo.webp,5
transfer,easy,Enzo Fernández,One player made this move in 2022/23. Who?,Enzo Fernández joined Benfica from River Plate in 2022/23 for €44.2M.,"{""from"": ""River Plate"", ""to"": ""Benfica"", ""season"": ""22/23"", ""fee"": 44250000.0}",river-plate.webp,sl-benfica.webp,4
transfer,medium,César Azpilicueta,One player made this move in 2012/13. Who?,César Azpilicueta joined Chelsea from Marseille in 2012/13 for €8.8M.,"{""from"": ""Marseille"", ""to"": ""Chelsea"", ""season"": ""12/13"", ""fee"": 8800000.0}",wl-marseille.png,chelsea.webp,6
transfer,hard,Álex Moreno,One player made this move in 2022/23. Who?,Álex Moreno joined Aston Villa from Real Betis in 2022/23 for €13.5M.,"{""from"": ""Real Betis"", ""to"": ""Aston Villa"", ""season"": ""22/23"", ""fee"": 13500000.0}",real-betis.webp,aston-villa.webp,4
transfer,hard,Danny Ings,One player made this move in 2021/22. Who?,Danny Ings joined Aston Villa from Southampton in 2021/22 for €29.4M.,"{""from"": ""Southampton"", ""to"": ""Aston Villa"", ""season"": ""21/22"", ""fee"": 29400000.0}",wl-southampton.png,aston-villa.webp,4
transfer,medium,Ilya Zabarnyi,One player made this move in 2022/23. Who?,Ilya Zabarnyi joined Bournemouth from Dynamo Kyiv in 2022/23 for €33M.,"{""from"": ""Dynamo Kyiv"", ""to"": ""Bournemouth"", ""season"": ""22/23"", ""fee"": 33000000.0}",wl-dynamo-kyiv.png,afc-bournemouth.png,5
transfer,easy,Enzo Fernández,One player made this move in 2022/23. Who?,Enzo Fernández joined Chelsea from Benfica in 2022/23 for €121M.,"{""from"": ""Benfica"", ""to"": ""Chelsea"", ""season"": ""22/23"", ""fee"": 121000000.0}",sl-benfica.webp,chelsea.webp,4
transfer,medium,Tammy Abraham,One player made this move in 2025/26. Who?,Tammy Abraham joined Aston Villa from Beşiktaş in 2025/26 for €21M.,"{""from"": ""Besiktas"", ""to"": ""Aston Villa"", ""season"": ""25/26"", ""fee"": 21000000.0}",wl-besiktas.png,aston-villa.webp,5
transfer,medium,Idrissa Gueye,One player made this move in 2016/17. Who?,Idrissa Gueye joined Everton from Aston Villa in 2016/17 for €8.5M.,"{""from"": ""Aston Villa"", ""to"": ""Everton"", ""season"": ""16/17"", ""fee"": 8500000.0}",aston-villa.webp,everton.webp,3
transfer,hard,Christ Inao Oulaï,One player made this move in 2025/26. Who?,Christ Inao Oulaï joined Trabzonspor from Bastia in 2025/26 for €5.5M.,"{""from"": ""SC Bastia"", ""to"": ""Trabzonspor"", ""season"": ""25/26"", ""fee"": 5500000.0}",wl-bastia.png,wl-trabzonspor.png,6
transfer,easy,Pierre-Emerick Aubameyang,One player made this move in 2024/25. Who?,Pierre-Emerick Aubameyang joined Al Qadsiah from Marseille in 2024/25 for €9M.,"{""from"": ""Marseille"", ""to"": ""Al-Qadsiah"", ""season"": ""24/25"", ""fee"": 9000000.0}",wl-marseille.png,wl-al-qadsiah.png,9
transfer,hard,Nicolás de la Cruz,One player made this move in 2023/24. Who?,Nicolás de la Cruz joined Flamengo from River Plate in 2023/24 for €14.5M.,"{""from"": ""River Plate"", ""to"": ""Flamengo"", ""season"": ""23/24"", ""fee"": 14500000.0}",river-plate.webp,flamengo.webp,4
transfer,medium,Pierre-Emile Højbjerg,One player made this move in 2016/17. Who?,Pierre-Emile Højbjerg joined Southampton from FC Bayern Munich in 2016/17 for €15M.,"{""from"": ""Bayern Munich"", ""to"": ""Southampton"", ""season"": ""16/17"", ""fee"": 15000000.0}",fc-bayern-munich.webp,wl-southampton.png,5
transfer,medium,Raúl de Tomás,One player made this move in 2019/20. Who?,Raúl de Tomás joined Espanyol from Benfica in 2019/20 for €22.5M.,"{""from"": ""Benfica"", ""to"": ""Espanyol"", ""season"": ""19/20"", ""fee"": 22500000.0}",sl-benfica.webp,rcd-espanyol.webp,4
transfer,easy,Isco,One player made this move in 2013/14. Who?,Isco joined Real Madrid CF from Málaga in 2013/14 for €30M.,"{""from"": ""Málaga CF"", ""to"": ""Real Madrid"", ""season"": ""13/14"", ""fee"": 30000000.0}",malaga-cf.png,real-madrid-cf.webp,4
transfer,medium,Jaydee Canvot,One player made this move in 2025/26. Who?,Jaydee Canvot joined Crystal Palace from Toulouse in 2025/26 for €23M.,"{""from"": ""Toulouse"", ""to"": ""Crystal Palace"", ""season"": ""25/26"", ""fee"": 23000000.0}",wl-toulouse.png,crystal-palace.png,5
transfer,medium,Joachim Andersen,One player made this move in 2019/20. Who?,Joachim Andersen joined Lyon from Sampdoria in 2019/20 for €24M.,"{""from"": ""Sampdoria"", ""to"": ""Lyon"", ""season"": ""19/20"", ""fee"": 24000000.0}",sampdoria.webp,olympique-lyonnais.webp,5
transfer,hard,Danny Ings,One player made this move in 2019/20. Who?,Danny Ings joined Southampton from Liverpool in 2019/20 for €25.1M.,"{""from"": ""Liverpool"", ""to"": ""Southampton"", ""season"": ""19/20"", ""fee"": 25100000.0}",liverpool.webp,wl-southampton.png,4
transfer,easy,Sandro Tonali,One player made this move in 2021/22. Who?,Sandro Tonali joined AC Milan from Brescia in 2021/22 for €14.3M.,"{""from"": ""Brescia"", ""to"": ""AC Milan"", ""season"": ""21/22"", ""fee"": 14280000.0}",wl-brescia.png,ac-milan.webp,4
transfer,medium,Iago Aspas,One player made this move in 2013/14. Who?,Iago Aspas joined Liverpool from Celta de Vigo in 2013/14 for €10.8M.,"{""from"": ""Celta de Vigo"", ""to"": ""Liverpool"", ""season"": ""13/14"", ""fee"": 10800000.0}",celta-de-vigo.webp,liverpool.webp,5
transfer,medium,Jonathan Ikoné,One player made this move in 2021/22. Who?,Jonathan Ikoné joined Fiorentina from Lille in 2021/22 for €15.4M.,"{""from"": ""Lille"", ""to"": ""Fiorentina"", ""season"": ""21/22"", ""fee"": 15400000.0}",losc-lille.webp,acf-fiorentina.webp,4
transfer,medium,Ismaïla Sarr,One player made this move in 2024/25. Who?,Ismaïla Sarr joined Crystal Palace from Marseille in 2024/25 for €15M.,"{""from"": ""Marseille"", ""to"": ""Crystal Palace"", ""season"": ""24/25"", ""fee"": 15000000.0}",wl-marseille.png,crystal-palace.png,5
transfer,hard,Nicolás de la Cruz,One player made this move in 2017/18. Who?,Nicolás de la Cruz joined River Plate from Liverpool in 2017/18 for €12.5M.,"{""from"": ""Liverpool FC"", ""to"": ""River Plate"", ""season"": ""17/18"", ""fee"": 12500000.0}",liverpool.webp,river-plate.webp,4
transfer,medium,Sergio Canales,One player made this move in 2023/24. Who?,Sergio Canales joined Monterrey from Real Betis in 2023/24 for €10M.,"{""from"": ""Real Betis"", ""to"": ""Monterrey"", ""season"": ""23/24"", ""fee"": 10000000.0}",real-betis.webp,wl-monterrey.png,4
transfer,hard,Tim Iroegbunam,One player made this move in 2024/25. Who?,Tim Iroegbunam joined Everton from Aston Villa in 2024/25 for €10.7M.,"{""from"": ""Aston Villa"", ""to"": ""Everton"", ""season"": ""24/25"", ""fee"": 10700000.0}",aston-villa.webp,everton.webp,4
transfer,hard,Paul Onuachu,One player made this move in 2025/26. Who?,Paul Onuachu joined Trabzonspor from Southampton in 2025/26 for €5.7M.,"{""from"": ""Southampton"", ""to"": ""Trabzonspor"", ""season"": ""25/26"", ""fee"": 5670000.0}",wl-southampton.png,wl-trabzonspor.png,4
transfer,hard,Cenk Tosun,One player made this move in 2017/18. Who?,Cenk Tosun joined Everton from Beşiktaş in 2017/18 for €22.5M.,"{""from"": ""Besiktas"", ""to"": ""Everton"", ""season"": ""17/18"", ""fee"": 22500000.0}",wl-besiktas.png,everton.webp,5
transfer,easy,Sadio Mané,One player made this move in 2022/23. Who?,Sadio Mané joined FC Bayern Munich from Liverpool in 2022/23 for €32M.,"{""from"": ""Liverpool"", ""to"": ""Bayern Munich"", ""season"": ""22/23"", ""fee"": 32000000.0}",liverpool.webp,fc-bayern-munich.webp,4
transfer,hard,Breel Embolo,One player made this move in 2016/17. Who?,Breel Embolo joined FC Schalke 04 from Basel in 2016/17 for €26.5M.,"{""from"": ""Basel"", ""to"": ""FC Schalke 04"", ""season"": ""16/17"", ""fee"": 26500000.0}",wl-basel.png,fc-schalke-04.webp,5
transfer,medium,Federico Bernardeschi,One player made this move in 2017/18. Who?,Federico Bernardeschi joined Juventus from Fiorentina in 2017/18 for €40M.,"{""from"": ""Fiorentina"", ""to"": ""Juventus"", ""season"": ""17/18"", ""fee"": 40000000.0}",acf-fiorentina.webp,juventus.webp,4
transfer,easy,Nabil Fekir,One player made this move in 2019/20. Who?,Nabil Fekir joined Real Betis from Olympique Lyonnais in 2019/20 for €19.8M.,"{""from"": ""Olympique Lyon"", ""to"": ""Real Betis"", ""season"": ""19/20"", ""fee"": 19750000.0}",olympique-lyonnais.webp,real-betis.webp,4
transfer,hard,Yusuf Yazıcı,One player made this move in 2019/20. Who?,Yusuf Yazıcı joined Lille from Trabzonspor in 2019/20 for €18.5M.,"{""from"": ""Trabzonspor"", ""to"": ""Lille"", ""season"": ""19/20"", ""fee"": 18500000.0}",wl-trabzonspor.png,losc-lille.webp,4
transfer,easy,Martin Ødegaard,One player made this move in 2021/22. Who?,Martin Ødegaard joined Arsenal from Real Madrid CF in 2021/22 for €35M.,"{""from"": ""Real Madrid"", ""to"": ""Arsenal"", ""season"": ""21/22"", ""fee"": 35000000.0}",real-madrid-cf.webp,arsenal.webp,11
transfer,medium,Maxence Lacroix,One player made this move in 2024/25. Who?,Maxence Lacroix joined Crystal Palace from Wolfsburg in 2024/25 for €18M.,"{""from"": ""Wolfsburg"", ""to"": ""Crystal Palace"", ""season"": ""24/25"", ""fee"": 18000000.0}",wl-vfl-wolfsburg.png,crystal-palace.png,4
transfer,medium,Frank Anguissa,One player made this move in 2018/19. Who?,Frank Anguissa joined Fulham from Marseille in 2018/19 for €24.9M.,"{""from"": ""Marseille"", ""to"": ""Fulham"", ""season"": ""18/19"", ""fee"": 24850000.0}",wl-marseille.png,wl-fulham.png,4
transfer,medium,Idrissa Gueye,One player made this move in 2015/16. Who?,Idrissa Gueye joined Aston Villa from Lille in 2015/16 for €9M.,"{""from"": ""Lille"", ""to"": ""Aston Villa"", ""season"": ""15/16"", ""fee"": 9000000.0}",losc-lille.webp,aston-villa.webp,3
transfer,medium,Juan Cuadrado,One player made this move in 2013/14. Who?,Juan Cuadrado joined Fiorentina from Udinese in 2013/14 for €20M.,"{""from"": ""Udinese"", ""to"": ""Fiorentina"", ""season"": ""13/14"", ""fee"": 20000000.0}",wl-udinese.png,acf-fiorentina.webp,4
transfer,medium,Moise Kean,One player made this move in 2019/20. Who?,Moise Kean joined Everton from Juventus in 2019/20 for €27.5M.,"{""from"": ""Juventus"", ""to"": ""Everton"", ""season"": ""19/20"", ""fee"": 27500000.0}",juventus.webp,everton.webp,4
transfer,easy,Kingsley Coman,One player made this move in 2025/26. Who?,Kingsley Coman joined Al Nassr from FC Bayern Munich in 2025/26 for €25M.,"{""from"": ""Bayern Munich"", ""to"": ""Al-Nassr"", ""season"": ""25/26"", ""fee"": 25000000.0}",fc-bayern-munich.webp,wl-al-nassr.png,6
transfer,medium,Richard Ríos,One player made this move in 2025/26. Who?,Richard Ríos joined Benfica from Palmeiras in 2025/26 for €27M.,"{""from"": ""Palmeiras"", ""to"": ""Benfica"", ""season"": ""25/26"", ""fee"": 27000000.0}",wl-palmeiras.png,sl-benfica.webp,4
